2018-05-03 09:17:52 startup archives unpack
2018-05-03 09:17:52 install liblist-compare-perl:all <none> 0.53-1
2018-05-03 09:17:52 status half-installed liblist-compare-perl:all 0.53-1
2018-05-03 09:17:52 status triggers-pending man-db:amd64 2.7.5-1
2018-05-03 09:17:52 status unpacked liblist-compare-perl:all 0.53-1
2018-05-03 09:17:52 status unpacked liblist-compare-perl:all 0.53-1
2018-05-03 09:17:52 trigproc man-db:amd64 2.7.5-1 <none>
2018-05-03 09:17:52 status half-configured man-db:amd64 2.7.5-1
2018-05-03 09:17:54 status installed man-db:amd64 2.7.5-1
2018-05-03 09:17:54 startup packages configure
2018-05-03 09:17:54 configure liblist-compare-perl:all 0.53-1 <none>
2018-05-03 09:17:54 status unpacked liblist-compare-perl:all 0.53-1
2018-05-03 09:17:54 status half-configured liblist-compare-perl:all 0.53-1
2018-05-03 09:17:54 status installed liblist-compare-perl:all 0.53-1
2018-05-03 09:17:54 startup packages configure
2018-05-07 17:18:22 startup archives install
2018-05-07 17:18:23 install filebeat:amd64 <none> 6.2.4
2018-05-07 17:18:23 status half-installed filebeat:amd64 6.2.4
2018-05-07 17:18:23 status triggers-pending systemd:amd64 229-4ubuntu21.1
2018-05-07 17:18:23 status triggers-pending ureadahead:amd64 0.100.0-19
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 configure filebeat:amd64 6.2.4 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
2018-05-07 17:18:24 status unpacked filebeat:amd64 6.2.4
